10007147,University of Hertfordshire,60,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,31.21,NULL,45,0,75,25,0,0,51.7517,-0.2400
10007148,The University of Huddersfield,62,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,27.20,NULL,85,0,0,75,25,0,53.6428,-1.7781
10007149,The University of Hull,63,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,11.00,NULL,100,0,25,75,0,0,53.7731,-0.3670
10003270,Imperial College of Science Technology and Medicine,64,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,58.45,NULL,100,100,0,0,0,0,51.4988,-0.1749
10007767,University of Keele,67,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,15.00,NULL,85,0,0,100,0,0,53.0030,-2.2721
10007150,The University of Kent,68,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,34.70,NULL,100,0,75,25,0,0,51.2967,1.0630
10003645,King's College London,69,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,48.50,NULL,100,62.5,37.5,0,0,0,51.5115,-0.1160
10003678,Kingston University,70,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,22.00,NULL,55,0,62.5,37.5,0,0,51.4032,-0.3035
10007768,The University of Lancaster,71,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,49.45,NULL,100,75,25,0,0,0,54.0104,-2.7877
10007795,The University of Leeds,72,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,34.25,NULL,100,62.5,37.5,0,0,0,53.8067,-1.5550
10003861,Leeds Beckett University,74,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,10.80,NULL,35,0,0,12.5,87.5,0,53.8035,-1.5480
10007796,The University of Leicester,76,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,19.70,NULL,100,0,50,50,0,0,52.6211,-1.1246
10007151,University of Lincoln,77,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,28.80,NULL,100,0,75,25,0,0,53.2285,-0.5478
10006842,The University of Liverpool,78,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,40.75,NULL,100,50,50,0,0,0,53.4048,-2.9653
10003956,Liverpool Hope University,79,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,13.50,NULL,100,0,0,37.5,62.5,0,53.3908,-2.8923
10003957,Liverpool John Moores University,80,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,42.00,NULL,70,0,25,75,0,0,53.4033,-2.9731
10004048,London Metropolitan University,83,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,9.30,NULL,100,0,0,50,50,0,51.5526,-0.1113
10004113,Loughborough University,87,B,11,Computer Science and Informatics,NULL,NULL,NULL,Environment,26.00,NULL,100,12.5,62.5,25,0,0,52.7650,-1.2321
